Version;Date_of_report;Date_of_statistics;Perc_covid_test_positive
1;2024-08-28;2020-11-02;0,4
1;2024-08-28;2020-11-09;0,4
1;2024-08-28;2020-11-16;0,3
1;2024-08-28;2020-11-23;0,3
1;2024-08-28;2020-11-30;0,3
1;2024-08-28;2020-12-07;0,5
1;2024-08-28;2020-12-14;0,7
1;2024-08-28;2020-12-21;0,8
1;2024-08-28;2020-12-28;0,7
1;2024-08-28;2021-01-04;0,5
1;2024-08-28;2021-01-11;0,3
1;2024-08-28;2021-01-18;0,3
1;2024-08-28;2021-01-25;0,3
1;2024-08-28;2021-02-01;0,3
1;2024-08-28;2021-02-08;0,2
1;2024-08-28;2021-02-15;0,2
1;2024-08-28;2021-02-22;0,2
1;2024-08-28;2021-03-01;0,2
1;2024-08-28;2021-03-08;0,3
1;2024-08-28;2021-03-15;0,3
1;2024-08-28;2021-03-22;0,4
1;2024-08-28;2021-03-29;0,4
1;2024-08-28;2021-04-05;0,3
1;2024-08-28;2021-04-12;0,4
1;2024-08-28;2021-04-19;0,4
1;2024-08-28;2021-04-26;0,4
1;2024-08-28;2021-05-03;0,4
1;2024-08-28;2021-05-10;0,4
1;2024-08-28;2021-05-17;0,2
1;2024-08-28;2021-05-24;0,1
1;2024-08-28;2021-05-31;0,1
1;2024-08-28;2021-06-07;0,0
1;2024-08-28;2021-06-14;0,0
1;2024-08-28;2021-06-21;0,1
1;2024-08-28;2021-06-28;0,1
1;2024-08-28;2021-07-05;0,2
1;2024-08-28;2021-07-12;0,2
1;2024-08-28;2021-07-19;0,3
1;2024-08-28;2021-07-26;0,2
1;2024-08-28;2021-08-02;0,1
1;2024-08-28;2021-08-09;0,1
1;2024-08-28;2021-08-16;0,1
1;2024-08-28;2021-08-23;0,1
1;2024-08-28;2021-08-30;0,1
1;2024-08-28;2021-09-06;0,1
1;2024-08-28;2021-09-13;0,1
1;2024-08-28;2021-09-20;0,1
1;2024-08-28;2021-09-27;0,1
1;2024-08-28;2021-10-04;0,1
1;2024-08-28;2021-10-11;0,1
1;2024-08-28;2021-10-18;0,3
1;2024-08-28;2021-10-25;0,3
1;2024-08-28;2021-11-01;0,7
1;2024-08-28;2021-11-08;0,7
1;2024-08-28;2021-11-15;1,0
1;2024-08-28;2021-11-22;1,2
1;2024-08-28;2021-11-29;1,2
1;2024-08-28;2021-12-06;0,9
1;2024-08-28;2021-12-13;0,7
1;2024-08-28;2021-12-20;0,7
1;2024-08-28;2021-12-27;0,7
1;2024-08-28;2022-01-03;1,0
1;2024-08-28;2022-01-10;1,2
1;2024-08-28;2022-01-17;1,5
1;2024-08-28;2022-01-24;2,8
1;2024-08-28;2022-01-31;4,0
1;2024-08-28;2022-02-07;3,8
1;2024-08-28;2022-02-14;3,7
1;2024-08-28;2022-02-21;2,9
1;2024-08-28;2022-02-28;4,0
1;2024-08-28;2022-03-07;6,0
1;2024-08-28;2022-03-14;5,5
1;2024-08-28;2022-03-21;5,0
1;2024-08-28;2022-03-28;3,8
1;2024-08-28;2022-04-04;2,7
1;2024-08-28;2022-04-11;2,0
1;2024-08-28;2022-04-18;1,6
1;2024-08-28;2022-04-25;0,9
1;2024-08-28;2022-05-02;0,6
1;2024-08-28;2022-05-09;0,7
1;2024-08-28;2022-05-16;0,6
1;2024-08-28;2022-05-23;0,5
1;2024-08-28;2022-05-30;0,7
1;2024-08-28;2022-06-06;0,9
1;2024-08-28;2022-06-13;2,2
1;2024-08-28;2022-06-20;4,1
1;2024-08-28;2022-06-27;3,2
1;2024-08-28;2022-07-04;3,6
1;2024-08-28;2022-07-11;3,5
1;2024-08-28;2022-07-18;2,2
1;2024-08-28;2022-07-25;2,3
1;2024-08-28;2022-08-01;1,8
1;2024-08-28;2022-08-08;1,2
1;2024-08-28;2022-08-15;1,1
1;2024-08-28;2022-08-22;0,6
1;2024-08-28;2022-08-29;0,8
1;2024-08-28;2022-09-05;0,9
1;2024-08-28;2022-09-12;1,0
1;2024-08-28;2022-09-19;1,3
1;2024-08-28;2022-09-26;2,5
1;2024-08-28;2022-10-03;3,3
1;2024-08-28;2022-10-10;2,4
1;2024-08-28;2022-10-17;2,2
1;2024-08-28;2022-10-24;1,6
1;2024-08-28;2022-10-31;1,3
1;2024-08-28;2022-11-07;1,0
1;2024-08-28;2022-11-14;0,9
1;2024-08-28;2022-11-21;1,0
1;2024-08-28;2022-11-28;1,0
1;2024-08-28;2022-12-05;1,1
1;2024-08-28;2022-12-12;1,4
1;2024-08-28;2022-12-19;1,7
1;2024-08-28;2022-12-26;1,8
1;2024-08-28;2023-01-02;1,3
1;2024-08-28;2023-01-09;0,8
1;2024-08-28;2023-01-16;0,5
1;2024-08-28;2023-01-23;0,6
1;2024-08-28;2023-01-30;0,6
1;2024-08-28;2023-02-06;1,0
1;2024-08-28;2023-02-13;1,5
1;2024-08-28;2023-02-20;2,2
1;2024-08-28;2023-02-27;2,3
1;2024-08-28;2023-03-06;1,9
1;2024-08-28;2023-03-13;1,8
1;2024-08-28;2023-03-20;1,4
1;2024-08-28;2023-03-27;1,2
1;2024-08-28;2023-04-03;0,8
1;2024-08-28;2023-04-10;0,8
1;2024-08-28;2023-04-17;0,6
1;2024-08-28;2023-04-24;0,5
1;2024-08-28;2023-05-01;0,4
1;2024-08-28;2023-05-08;0,3
1;2024-08-28;2023-05-15;0,2
1;2024-08-28;2023-05-22;0,3
1;2024-08-28;2023-05-29;0,3
1;2024-08-28;2023-06-05;0,1
1;2024-08-28;2023-06-12;0,1
1;2024-08-28;2023-06-19;0,1
1;2024-08-28;2023-06-26;0,1
1;2024-08-28;2023-07-03;0,1
1;2024-08-28;2023-07-10;0,1
1;2024-08-28;2023-07-17;0,2
1;2024-08-28;2023-07-24;0,1
1;2024-08-28;2023-07-31;0,2
1;2024-08-28;2023-08-07;0,2
1;2024-08-28;2023-08-14;0,4
1;2024-08-28;2023-08-21;0,4
1;2024-08-28;2023-08-28;0,7
1;2024-08-28;2023-09-04;0,8
1;2024-08-28;2023-09-11;0,8
1;2024-08-28;2023-09-18;0,8
1;2024-08-28;2023-09-25;0,9
1;2024-08-28;2023-10-02;1,0
1;2024-08-28;2023-10-09;1,1
1;2024-08-28;2023-10-16;1,2
1;2024-08-28;2023-10-23;1,3
1;2024-08-28;2023-10-30;1,5
1;2024-08-28;2023-11-06;1,8
1;2024-08-28;2023-11-13;2,0
1;2024-08-28;2023-11-20;2,2
1;2024-08-28;2023-11-27;2,4
1;2024-08-28;2023-12-04;3,1
1;2024-08-28;2023-12-11;3,6
1;2024-08-28;2023-12-18;3,4
1;2024-08-28;2023-12-25;2,6
1;2024-08-28;2024-01-01;2,0
1;2024-08-28;2024-01-08;0,9
1;2024-08-28;2024-01-15;0,7
1;2024-08-28;2024-01-22;0,7
1;2024-08-28;2024-01-29;0,5
1;2024-08-28;2024-02-05;0,4
1;2024-08-28;2024-02-12;0,2
1;2024-08-28;2024-02-19;0,1
1;2024-08-28;2024-02-26;0,2
1;2024-08-28;2024-03-04;0,1
1;2024-08-28;2024-03-11;0,1
1;2024-08-28;2024-03-18;0,1
1;2024-08-28;2024-03-25;0,1
1;2024-08-28;2024-04-01;0,1
1;2024-08-28;2024-04-08;0,1
1;2024-08-28;2024-04-15;0,0
1;2024-08-28;2024-04-22;0,1
1;2024-08-28;2024-04-29;0,1
1;2024-08-28;2024-05-06;0,1
1;2024-08-28;2024-05-13;0,1
1;2024-08-28;2024-05-20;0,2
1;2024-08-28;2024-05-27;0,3
1;2024-08-28;2024-06-03;0,4
1;2024-08-28;2024-06-10;0,5
1;2024-08-28;2024-06-17;1,0
1;2024-08-28;2024-06-24;1,3
1;2024-08-28;2024-07-01;1,1
1;2024-08-28;2024-07-08;1,3
1;2024-08-28;2024-07-15;1,6
1;2024-08-28;2024-07-22;1,7
1;2024-08-28;2024-07-29;1,2
1;2024-08-28;2024-08-05;0,8
1;2024-08-28;2024-08-12;0,8
1;2024-08-28;2024-08-19;0,7
